Args: Namespace(accumulate=4, alpha=2, batch_size=16, beta=1, bptt=1024, ce_weight=True, clip=0.25, cooldown=None, criterion='MSE', cuda=True, data='data/enwik8/', dropout=0.3, dropoute=0.1, dropouth=0.3, dropouti=0.3, emsize=1024, epochs=15, language_model=False, log_interval=300, lr=0.0004, model='BERT', nhid=4096, nlayers=4, nonmono=5, optimizer='adamw', resume='', save='BERT.pt', seed=5512, tied=True, warmup=3000, wdecay=1.2e-06, wdrop=0.0, when=[-1])
Model total parameters: 37327885
| epoch   2 |  4500/10519 batches | lr 0.00033 | ms/batch 63.01 | loss  0.19 | ppl     1.21 | bpc    0.278 | acc 0.98280 | tag_acc 0.93300
| epoch   2 |  4800/10519 batches | lr 0.00033 | ms/batch 63.54 | loss  0.18 | ppl     1.20 | bpc    0.265 | acc 0.98170 | tag_acc 0.92162
| epoch   2 |  5100/10519 batches | lr 0.00032 | ms/batch 63.74 | loss  0.21 | ppl     1.23 | bpc    0.300 | acc 0.98333 | tag_acc 0.91646
| epoch   2 |  5400/10519 batches | lr 0.00032 | ms/batch 64.23 | loss  0.18 | ppl     1.20 | bpc    0.265 | acc 0.98352 | tag_acc 0.92502
| epoch   2 |  5700/10519 batches | lr 0.00032 | ms/batch 63.93 | loss  0.22 | ppl     1.25 | bpc    0.321 | acc 0.97889 | tag_acc 0.91576
| epoch   2 |  6000/10519 batches | lr 0.00031 | ms/batch 64.37 | loss  0.22 | ppl     1.25 | bpc    0.317 | acc 0.98434 | tag_acc 0.91917
| epoch   2 |  6300/10519 batches | lr 0.00031 | ms/batch 63.84 | loss  0.18 | ppl     1.20 | bpc    0.265 | acc 0.98349 | tag_acc 0.93325
| epoch   2 |  6600/10519 batches | lr 0.00031 | ms/batch 64.28 | loss  0.19 | ppl     1.21 | bpc    0.271 | acc 0.98362 | tag_acc 0.92855
| epoch   2 |  6900/10519 batches | lr 0.00030 | ms/batch 65.50 | loss  0.22 | ppl     1.24 | bpc    0.316 | acc 0.98257 | tag_acc 0.92473
| epoch   2 |  7200/10519 batches | lr 0.00030 | ms/batch 65.80 | loss  0.17 | ppl     1.18 | bpc    0.238 | acc 0.98552 | tag_acc 0.94063
| epoch   2 |  7500/10519 batches | lr 0.00030 | ms/batch 65.69 | loss  0.19 | ppl     1.21 | bpc    0.273 | acc 0.98657 | tag_acc 0.93447
